affiliationid,normalizedname,displayname,university_normalized,University,Country
10452050,messiah college,Messiah College,messiah college,NA,NA
19149307,chennai mathematical institute,Chennai Mathematical Institute,chennai mathematical institute,NA,NA
25085605,goldfarb school of nursing at barnes jewish college,Goldfarb School of Nursing at Barnes-Jewish College,goldfarb school of nursing at barnes-jewish college,NA,NA
27841520,pacific marine environmental laboratory,Pacific Marine Environmental Laboratory,pacific marine environmental laboratory,NA,NA
31721044,centro de investigacion y docencia economicas,Centro de Investigación y Docencia Económicas,centro de investigacion y docencia economicas,NA,NA
39018119,aichi university of education,Aichi University of Education,aichi university of education,NA,NA
41112366,birmingham southern college,Birmingham–Southern College,birmingham-southern college,NA,NA
47251452,wake forest university,Wake Forest University,wake forest university,Wake Forest University,United States
48270317,virage logic,Virage Logic,virage logic,NA,NA
54939947,manomet center for conservation sciences,Manomet Center for Conservation Sciences,manomet center for conservation sciences,NA,NA
61652871,mississippi valley state university,Mississippi Valley State University,mississippi valley state university,NA,NA
67061984,norwegian institute for air research,Norwegian Institute for Air Research,norwegian institute for air research,NA,NA
67698093,misericordia university,Misericordia University,misericordia university,NA,NA
69179986,ateneo de davao university,Ateneo de Davao University,ateneo de davao university,NA,NA
76257594,sinop university,Sinop University,sinop university,NA,NA
87298550,idun pharmaceuticals,Idun Pharmaceuticals,idun pharmaceuticals,NA,NA
88780834,hwa hsia university of technology,Hwa Hsia University of Technology,hwa hsia university of technology,NA,NA
89847497,innospec,Innospec,innospec,NA,NA
93085520,silicon labs,Silicon Labs,silicon labs,NA,NA
94305156,indian academy of sciences,Indian Academy of Sciences,indian academy of sciences,NA,NA
94782393,champlain regional college,Champlain Regional College,champlain regional college,NA,NA
112576028,central leather research institute,Central Leather Research Institute,central leather research institute,NA,NA
116870532,alliance to save energy,Alliance to Save Energy,alliance to save energy,NA,NA
117598194,nimbkar agricultural research institute,Nimbkar Agricultural Research Institute,nimbkar agricultural research institute,NA,NA
122335728,roxar as,Roxar AS,roxar as,NA,NA
135120706,university of baghdad,University of Baghdad,university of baghdad,NA,NA
141930935,zhuzhou csr times electric co ltd,"Zhuzhou CSR Times Electric Co., Ltd.","zhuzhou csr times electric co., ltd.",NA,NA
153687341,zarqa private university,Zarqa Private University,zarqa private university,NA,NA
154347574,university of rijeka,University of Rijeka,university of rijeka,NA,NA
157264004,brest state technical university,Brest State Technical University,brest state technical university,NA,NA
157273133,university of botswana,University of Botswana,university of botswana,NA,NA
158960842,colorado christian university,Colorado Christian University,colorado christian university,NA,NA
164389053,fordham university,Fordham University,fordham university,NA,NA
165799507,rensselaer polytechnic institute,Rensselaer Polytechnic Institute,rensselaer polytechnic institute,Rensselaer Polytechnic Institute,United States
166719255,bcet gurdaspur,BCET Gurdaspur,bcet gurdaspur,NA,NA
177879584,roquette freres,Roquette Freres,roquette freres,NA,NA
179647637,universidad autonoma del estado de mexico,Universidad Autónoma del Estado de México,universidad autonoma del estado de mexico,NA,NA
182526193,water resources university,Water Resources University,water resources university,NA,NA
185249246,central drug research institute,Central Drug Research Institute,central drug research institute,NA,NA
197659720,institut universitaire de formation des maitres,Institut Universitaire de Formation des Maîtres,institut universitaire de formation des maitres,NA,NA
198055717,therapeutic goods administration,Therapeutic Goods Administration,therapeutic goods administration,NA,NA
219826191,universidade do estado de minas gerais,Universidade do Estado de Minas Gerais,universidade do estado de minas gerais,NA,NA
271861418,polaris industries,Polaris Industries,polaris industries,NA,NA
274311791,lahore leads university,Lahore Leads University,lahore leads university,NA,NA
325474442,peres center for peace,Peres Center for Peace,peres center for peace,NA,NA
334093121,whitman walker health,Whitman-Walker Health,whitman-walker health,NA,NA
340238431,universidad americana,Universidad Americana,universidad americana,NA,NA
868507769,cmg,CMG,cmg,NA,NA
911821948,ntt data,NTT DATA,ntt data,NA,NA
1281400175,oslo university hospital,Oslo University Hospital,oslo university hospital,NA,NA
1284261467,disney interactive studios,Disney Interactive Studios,disney interactive studios,NA,NA
1290398291,gmc,GMC,gmc,NA,NA
1298723799,environmental defense fund,Environmental Defense Fund,environmental defense fund,NA,NA
1299503650,national endowment for the arts,National Endowment for the Arts,national endowment for the arts,NA,NA
1303291446,afl cio,AFL–CIO,afl-cio,NA,NA
1303628097,bayfront health st petersburg,Bayfront Health St. Petersburg,bayfront health st. petersburg,NA,NA
1305496451,phoenix house,Phoenix House,phoenix house,NA,NA
1306471659,foreign policy association,Foreign Policy Association,foreign policy association,NA,NA
1307802075,office of technology assessment,Office of Technology Assessment,office of technology assessment,NA,NA
1310049589,vitesse semiconductor,Vitesse Semiconductor,vitesse semiconductor,NA,NA
1310145721,saes getters,SAES Getters,saes getters,NA,NA
1311564700,ceres,Ceres,ceres,NA,NA
1316380414,gensler,Gensler,gensler,NA,NA
1317676270,united kingdoministry of aviation,United KingdoMinistry of Aviation,united kingdoministry of aviation,NA,NA
1318273639,porter novelli,Porter Novelli,porter novelli,NA,NA
1321826891,ebay,eBay,ebay,NA,NA
1321897675,algeta,Algeta,algeta,NA,NA
1327405815,museum of science,Museum of Science,museum of science,NA,NA
1343006399,skoda auto,Škoda Auto,skoda auto,NA,NA
1344073410,howard hughes medical institute,Howard Hughes Medical Institute,howard hughes medical institute,NA,NA
2799437725,lakeridge health,Lakeridge Health,lakeridge health,NA,NA
2799500531,lagos state polytechnic,Lagos State Polytechnic,lagos state polytechnic,NA,NA
2799672316,northern lakes college,Northern Lakes College,northern lakes college,NA,NA
2799681489,ministere de la defense,Ministère de la Défense,ministere de la defense,NA,NA
2799703540,craigavon area hospital,Craigavon Area Hospital,craigavon area hospital,NA,NA
2799712993,norwood hospital,Norwood Hospital,norwood hospital,NA,NA
2799744807,population association of america,Population Association of America,population association of america,NA,NA
2799871295,medicare rights center,Medicare Rights Center,medicare rights center,NA,NA
2799978770,x fab germany,X-Fab (Germany),x-fab (germany),NA,NA
2800286119,manchester memorial hospital,Manchester Memorial Hospital,manchester memorial hospital,NA,NA
2800367726,kalamazoo public library,Kalamazoo Public Library,kalamazoo public library,NA,NA
2800399840,floating hospital for children,Floating Hospital for Children,floating hospital for children,NA,NA
2800451075,forsyth technical community college,Forsyth Technical Community College,forsyth technical community college,NA,NA
2800855151,asa university bangladesh,ASA University Bangladesh,asa university bangladesh,NA,NA
2800981379,jefferson state community college,Jefferson State Community College,jefferson state community college,NA,NA
2801046101,academy of fine arts prague,Academy of Fine Arts Prague,academy of fine arts prague,NA,NA
2801117330,medical university plovdiv,Medical University Plovdiv,medical university plovdiv,NA,NA
2801150652,frederiksberg hospital,Frederiksberg Hospital,frederiksberg hospital,NA,NA
2801403999,ucla medical center,UCLA Medical Center,ucla medical center,NA,NA
2801448374,accreditation board for engineering and technology,Accreditation Board for Engineering and Technology,accreditation board for engineering and technology,NA,NA
2801568573,breakthrough institute,Breakthrough Institute,breakthrough institute,NA,NA
2801610410,american academy in berlin,American Academy in Berlin,american academy in berlin,NA,NA
